ticker,total_score,sec_score,news_score,gapper_score,value_score,moat_score,news_hits,best_news_recency_min,sector_tags,event_tags
BOOM,2.000,2.000,0.000,0.000,2.000,0.000,0,999999.0,,
TLF,2.000,2.000,0.000,0.000,2.000,0.000,0,999999.0,,
CELZ,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
EXPI,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
OII,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
OTIS,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
NXPI,2.000,2.000,0.000,0.000,2.000,0.000,0,999999.0,,
ANL,2.000,2.000,0.000,0.000,2.000,0.000,0,999999.0,,
JAZZ,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
JUSHF,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
BCAX,2.000,2.000,0.000,0.000,2.000,0.000,0,999999.0,,
PENN,2.000,2.000,0.000,0.000,2.000,0.000,0,999999.0,,
METCZ,2.000,2.000,0.000,0.000,2.000,0.000,0,999999.0,,
QURE,2.000,2.000,0.000,0.000,2.000,0.000,0,999999.0,,
FULC,2.000,2.000,0.000,0.000,2.000,0.000,0,999999.0,,
NEMCL,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
RLYB,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
QS,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
NXJ,2.000,2.000,0.000,0.000,2.000,0.000,0,999999.0,,
TDY,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
CBRE,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
WGRX,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
CTRA,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
NQP,2.000,2.000,0.000,0.000,2.000,0.000,0,999999.0,,
SCHL,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
CP,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
USBC,2.000,2.000,0.000,0.000,2.000,0.000,0,999999.0,,
ROL,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
MSOGF,2.000,2.000,0.000,2.000,2.000,0.000,0,999999.0,,
MIAX,2.000,2.000,0.000,0.000,2.000,0.000,0,999999.0,,
VMAR,2.000,2.000,0.000,0.000,2.000,0.000,0,999999.0,,
MXL,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
SLSN,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
FIX,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
BKR,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
UAMY,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
NVAX,2.000,2.000,0.000,0.000,2.000,0.000,0,999999.0,,
MTH,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
FOLD,2.000,2.000,0.000,0.000,2.000,0.000,0,999999.0,,
GDLG,2.000,2.000,0.000,1.000,2.000,0.000,0,999999.0,,
LRCX,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
PG,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
LMT,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
PLRZ,2.000,2.000,0.000,2.000,2.000,0.000,0,999999.0,,
PHM,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
SPRU,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
BMNM,2.000,2.000,0.000,0.000,2.000,0.000,0,999999.0,,
MBLY,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
WST,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
KALU,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
LVS,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
R,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
NOM,2.000,2.000,0.000,0.000,2.000,0.000,0,999999.0,,
STEM,2.000,2.000,0.000,0.000,2.000,0.000,0,999999.0,,
WKC,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
MEDP,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
HCSG,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
SNTW,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
XAIR,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
XOSW,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
LBRT,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
CINT,2.000,2.000,0.000,2.000,2.000,0.000,0,999999.0,,
MCO,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
HLX,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
KW,2.000,2.000,0.000,0.000,2.000,0.000,0,999999.0,,
UBXG,2.000,2.000,0.000,2.000,1.000,0.000,0,999999.0,,
IQST,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
GRC,2.000,2.000,0.000,2.000,2.000,0.000,0,999999.0,,
CTAS,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
FPH,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
SKYW,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
XBIO,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
ZOMDF,2.000,2.000,0.000,2.000,0.000,0.000,0,999999.0,,
UPX,1.000,1.000,0.000,0.000,1.000,0.000,0,999999.0,,
ATS,1.000,1.000,0.000,0.000,1.000,0.000,0,999999.0,,
FCFS,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
TXN,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
CSL,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
EBON,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
INTC,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
TOPS,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
APOG,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
OPTHF,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
DAWN,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
FAF,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
NAAS,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
MANH,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
MNDR,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
BOXL,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
DXST,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
RIBB,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
HAL,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
FR,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
NSC,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
RLI,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
JF,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
RCKT,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
TEL,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
CHTR,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
ZBAO,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
MHO,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
SIGIP,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
XNDU,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
SYRA,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
PM,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
NDAQ,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
RANG,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
GDHG,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
AMST,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
MRK,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
GRVT,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
DOW,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
QETA,0.000,0.000,0.000,0.000,0.000,0.000,0,999999.0,,
